"Work Order Number","SA: Type","SA: Schedule Exception Reason","SA: Duration","SA: Status","Entitlement Process Start Time","Created Date","SA: Scheduled Start","SA: Earliest Start Permitted","SA: Due Date","SA: Schedule Mode","SA: Service Territory","SA: Appointment Number"
"WO00039053","Onsite Visit","No SSRs were found.","80.00","Completed","5/31/2019 12:18 PM","5/31/2019","5/31/2019 2:45 PM","5/31/2019 12:00 AM","5/31/2019 6:18 PM","Manual","AU - NSW","SA-0043160"
"WO00035713","Onsite Visit","No SSRs were found.","80.00","Completed","5/7/2019 10:58 AM","5/7/2019","5/9/2019 3:30 PM","5/6/2019 10:00 PM","5/7/2019 4:58 PM","Manual","NZ - North Island","SA-0039827"
"WO00035713","Parts Pickup","","30.00","Completed","5/7/2019 10:58 AM","5/7/2019","5/7/2019 12:30 PM","5/7/2019 1:30 PM","5/7/2019 4:58 PM","Manual","NZ - North Island","SA-0039826"
"WO00035823","Onsite Visit","No SSRs were found.","80.00","Completed","5/7/2019 11:11 PM","5/7/2019","","5/9/2019 8:30 AM","5/9/2019 11:30 AM","Manual","AU - NSW","SA-0039950"
"WO00036576","Onsite Visit","","80.00","Completed","5/14/2019 9:13 AM","5/14/2019","5/14/2019 3:00 PM","5/14/2019 12:00 AM","5/14/2019 1:13 PM","Manual","AU - VIC","SA-0040679"
"WO00038886","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/30/2019 2:36 PM","5/30/2019","5/31/2019 11:00 AM","5/30/2019 12:00 AM","5/30/2019 6:36 PM","Manual","AU - QLD","SA-0043071"
"WO00038886","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/30/2019 2:36 PM","5/30/2019","6/3/2019 11:30 AM","5/30/2019 12:00 AM","5/30/2019 6:36 PM","Manual","AU - QLD","SA-0043072"
"WO00039019","Onsite Visit","No SSRs were found.","80.00","Completed","5/31/2019 10:30 AM","5/31/2019","6/7/2019 10:41 AM","6/3/2019 8:30 AM","6/3/2019 1:30 PM","Manual","AU - VIC","SA-0043102"
"WO00036457","Parts Pickup","","30.00","Completed","5/13/2019 11:55 AM","5/13/2019","5/14/2019 3:15 PM","5/14/2019 10:00 AM","5/14/2019 2:55 PM","Manual","AU - VIC","SA-0040537"
"WO00036457","Onsite Visit","","80.00","Completed","5/13/2019 11:55 AM","5/13/2019","5/14/2019 3:30 PM","5/14/2019 8:30 AM","5/14/2019 2:55 PM","Manual","AU - VIC","SA-0040538"
"WO00036917","Onsite Visit","No SSRs were found.","80.00","Completed","5/16/2019 9:00 AM","5/16/2019","5/17/2019 12:00 PM","5/17/2019 8:30 AM","5/17/2019 12:00 PM","Manual","AU - NSW","SA-0041018"
"WO00036260","Onsite Visit","No SSRs were found.","80.00","Completed","5/10/2019 1:55 PM","5/10/2019","5/13/2019 7:00 AM","5/9/2019 10:00 PM","5/10/2019 5:55 PM","Manual","NZ - North Island","SA-0040380"
"WO00036633","Parts Pickup","","30.00","Completed","5/8/2019 3:24 AM","5/8/2019","5/15/2019 2:15 PM","5/14/2019 4:00 PM","5/14/2019 6:38 PM","Manual","AU - NSW","SA-0040737"
"WO00036633","Onsite Visit","No SSRs were found.","80.00","Completed","5/8/2019 3:24 AM","5/8/2019","5/15/2019 10:00 AM","5/8/2019 12:00 AM","5/14/2019 6:38 PM","Manual","AU - NSW","SA-0040738"
"WO00036581","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/14/2019 9:30 AM","5/14/2019","5/17/2019 10:45 AM","5/15/2019 8:30 AM","5/16/2019 5:26 PM","Manual","AU - QLD","SA-0040684"
"WO00036219","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/10/2019 10:53 AM","5/10/2019","5/13/2019 1:45 PM","5/13/2019 12:30 PM","5/13/2019 5:35 PM","Manual","AU - NSW","SA-0040320"
"WO00036219","Onsite Visit","No SSRs were found.","80.00","Completed","5/10/2019 10:53 AM","5/10/2019","5/13/2019 1:45 PM","5/10/2019 12:00 AM","5/13/2019 5:35 PM","Manual","AU - NSW","SA-0040321"
"WO00038311","Onsite Visit","","80.00","Completed","5/27/2019 11:15 AM","5/27/2019","5/27/2019 2:30 PM","5/27/2019 12:10 PM","5/27/2019 6:10 PM","Manual","AU - VIC","SA-0042409"
"WO00037029","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/16/2019 3:28 PM","5/16/2019","5/22/2019 5:00 PM","5/22/2019 2:00 PM","5/22/2019 7:10 PM","Manual","AU - NSW","SA-0041134"
"WO00037029","Onsite Visit","No SSRs were found.","80.00","Completed","5/16/2019 3:28 PM","5/16/2019","5/22/2019 5:00 PM","5/16/2019 12:00 AM","5/22/2019 7:10 PM","Manual","AU - NSW","SA-0041135"
"WO00038761","Parts Pickup","","30.00","Completed","5/29/2019 8:13 PM","5/29/2019","5/31/2019 6:30 AM","5/31/2019 6:30 AM","5/31/2019 9:30 AM","Automatic","NZ - North Island","SA-0043012"
